Symbol,CompanyName,Sector,FirstDate,LastDate,TradingDays,MaxHigh,MinLow,LatestClose,TotalVolume,TotalValue
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1140.0,837.0,912.0,1281100,1287808117.9
HLI,Himalayan Life Insurance Limited,Life Insurance,2024-12-03,2025-12-03,226,506.8,354.8,377.0,16160810,6891569919.76
HLICF,Himalayan Life Insurance Limited,Life Insurance,2025-11-05,2025-12-03,21,10.0,8.8,9.3,93020,848801.8
HPPL,Himalayan Power Partner Ltd.,Hydro Power,2024-12-03,2025-12-03,226,711.0,379.2,478.2,38222030,21091746761.5
HRL,Himalayan Reinsurance Limited,Others,2024-12-03,2025-12-03,226,1156.0,762.1,838.0,59331701,57992529315.94
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power,2024-12-03,2025-12-03,226,283.4,204.6,226.2,38317680,9693850829.9
ICFC,ICFC Finance Limited,Finance,2024-12-03,2025-12-03,226,779.0,555.0,653.7,5788594,3790734670.75
ICFCD83,ICFC Finance Limited,Finance,2024-12-03,2025-12-03,226,1368.9,1155.0,1180.0,16167,19848009.0
ICFCD88,ICFC Finance Limited,Finance,2025-03-03,2025-12-03,170,1173.0,0.0,1120.0,22566,24533821.7
IGI,IGI Prudential Insurance Limited,Non Life Insurance,2024-12-03,2025-12-03,226,664.2,392.0,424.0,5967721,3333017113.74
IHL,Ingwa Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,838.0,490.0,550.0,3812687,2628502201.3
ILBS,Infinity Laghubitta Bittiya Sastha Ltd,Microfinance,2024-12-03,2025-12-03,226,1311.0,795.2,1108.0,2026410,2221632515.9
ILI,I.M.E. Life Insurance company Limited ,Life Insurance,2024-12-03,2025-12-03,226,530.0,405.0,460.1,6444810,3070841733.34
JBBD87,Jyoti Bikas Bank Limited,Development Banks,2024-12-03,2025-12-03,226,1260.0,1035.1,1156.1,19937,21790673.5
JBBL,Jyoti Bikas Bank Limited,Development Banks,2024-12-03,2025-12-03,226,414.0,295.0,325.9,15850741,5694299881.9
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Ltd,Microfinance,2024-12-03,2025-12-03,226,1644.0,1270.7,1505.2,1793675,2587306556.1
JFL,Janaki Finance Company Limited,Finance,2024-12-03,2025-12-03,226,990.0,395.0,429.9,11909564,7753213790.9
JHAPA,Jhapa Energy Limited,Others,2025-11-16,2025-12-03,14,1073.6,293.4,1073.6,8180,6510648.0
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power,2024-12-03,2025-12-03,226,521.6,254.0,317.0,19848012,7886430028.3
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1860.4,1059.0,1220.0,479565,717333845.6
JSM,Jyoti Sinning Mills Limited,Manufacturing And Processing,2024-12-03,2025-12-03,226,27.0,27.0,27.0,0,0.0
KBL,Kumari Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,233.5,175.5,180.0,69913999,14641324662.2
KBLD86,Kumari Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1257.4,1080.3,1134.0,40235,46210739.5
KBLD89,Kumari Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1335.0,1107.0,1335.0,101573,122356829.9
KBLD90,Kumari Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1495.0,1078.0,1495.0,168940,248274686.0
KBSH,Kutheli Bukhari Small Hydropower Ltd,Hydro Power,2024-12-03,2025-12-03,226,3300.0,1700.0,1790.0,255371,607109388.8
KDBY,Kumari Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,10.57,8.67,9.3,13141818,130071102.92
KDL,KALINCHOWK DARSHAN LIMITED ,Hotels And Tourism,2024-12-03,2025-12-03,226,1306.3,866.0,890.0,1207138,1365425771.8
KEF,Kumari Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,10.42,8.48,9.05,10275240,95906341.05
