Symbol,CompanyName,Sector,Date,High,Low,Close,Volume,Value_NPR,Trades
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-24,880.0,856.0,877.42,25794,22436583.7,249
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-25,877.0,855.1,858.93,18716,16124511.2,254
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-26,869.6,855.0,864.24,16901,14579780.5,171
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-27,874.0,860.0,867.47,28112,24278526.5,232
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-03-30,885.0,860.1,879.92,28897,25317520.4,236
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-01,880.0,860.0,861.96,24998,21648689.6,254
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-02,874.9,860.1,867.17,22780,19737920.8,162
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-03,880.0,860.0,869.25,28718,24958163.2,200
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-07,885.0,858.3,859.27,28242,24374686.9,200
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-08,868.5,850.0,856.61,35339,30184569.5,310
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-09,870.0,850.0,854.55,16723,14335123.3,175
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-10,864.9,850.0,852.2,25325,21580072.5,238
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-13,855.6,850.0,853.01,18258,15576861.9,125
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-15,877.2,855.0,868.9,10356,9016706.0,150
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-16,873.0,866.0,869.79,8504,7407374.0,99
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-17,880.0,865.1,874.02,17961,15700575.2,182
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-20,880.0,870.0,873.17,15234,13333896.3,143
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-21,877.9,870.0,872.62,12815,11192519.3,136
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-22,882.0,865.0,873.24,8965,7845206.0,93
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-23,873.0,867.0,868.86,6912,6004476.2,100
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-24,872.0,861.5,862.33,17484,15138895.7,129
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-27,870.0,852.2,860.47,11906,10272249.6,138
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-28,865.0,856.1,858.41,10490,9021583.8,103
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-29,860.0,850.0,850.68,9798,8368729.9,158
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-04-30,854.0,844.0,845.19,12399,10497971.1,177
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-04,860.0,845.4,854.5,15455,13171855.7,149
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-05,858.5,851.0,852.25,11605,9889471.7,102
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-06,851.0,842.1,846.96,8734,7405095.0,114
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-07,868.0,845.0,861.63,9248,7894763.8,157
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-08,870.0,851.3,856.06,15896,13637567.3,143
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-11,892.3,857.1,889.52,56488,49562145.8,521
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-13,893.0,860.5,862.16,22587,19771920.3,274
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-14,874.0,856.5,857.83,6389,5511084.2,104
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-15,874.0,850.0,862.54,18776,16203533.8,266
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-18,893.0,865.3,877.26,146426,129811183.5,448
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-19,920.0,880.0,896.28,266246,236754650.8,675
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-20,919.8,891.8,918.48,260857,235478845.8,669
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-21,955.0,898.0,900.13,131695,121358311.0,575
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-22,909.8,882.3,887.96,26524,23674177.7,300
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-25,890.1,876.0,876.75,25447,22383316.0,267
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-26,894.2,861.0,865.24,26722,23313554.5,264
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-27,870.0,860.0,861.97,18546,16016870.4,212
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-05-28,879.0,855.1,868.99,11821,10248555.5,114
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-02,904.0,870.0,879.29,27971,24606982.3,271
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-03,885.0,865.0,865.89,16125,14033275.4,137
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-04,879.5,860.0,865.58,14182,12246814.0,126
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-05,905.0,850.0,898.91,184782,159395522.6,579
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-08,918.0,896.0,901.47,68736,62155036.8,458
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-09,907.0,883.5,900.08,120708,107304526.3,336
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-10,912.0,890.0,890.1,21694,19450887.8,206
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-11,930.0,890.0,919.43,112564,103196550.1,769
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-12,999.0,920.0,981.75,233162,224693664.3,1733
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-15,1029.1,962.3,1013.67,218249,216903616.7,1527
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-16,1069.4,1007.5,1046.84,271593,283463474.1,1812
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-17,1065.0,1015.5,1023.18,133389,138525112.5,960
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-18,1043.5,976.1,996.84,202952,205904751.5,1111
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-19,1029.1,981.0,995.2,158963,159829318.1,1035
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-22,1000.0,945.1,952.32,92647,89715937.3,686
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-23,970.0,931.0,964.86,55920,53098245.3,476
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-24,989.0,945.0,948.11,48063,46513257.4,397
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-25,1000.0,941.0,994.9,181945,175042000.9,775
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-26,1000.0,961.0,966.0,55944,54924209.4,486
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-29,972.0,940.0,950.84,141634,135465364.5,528
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-06-30,979.9,950.0,953.13,73744,70680756.7,331
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-01,972.1,950.0,952.2,38944,37161009.6,283
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-02,971.2,947.0,954.62,60583,57777738.0,393
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-03,973.7,948.0,949.18,56465,53713263.7,394
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-06,968.1,938.9,940.76,36006,34072914.9,336
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-07,973.0,935.9,949.72,122356,116714033.9,483
